ORG. JUR,RAZON SOCIAL,NIT,MUN-COMERCIAL,CIIU-1,CIIU-2,CIIU-3,CIIU-4,ACTIVIDAD,NOMBRE PROPIO,NOMBRE REPRESENTANTE LEGAL
12,ASOCIACION DE COMERCIALIZADORES DE GANADO Y CARNES DE CUBARA,9003149189,15223 - CUBARA,A0141 ** Cria de ganado bovino y bufalino,A0162 ** Actividades de apoyo a la ganaderia,,,,,ACOSTA MAYORGA JORGE ORLANDO
2,POLLOS PETETE,,15223 - CUBARA,A0145 ** Cria de aves de corral,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,,CRÍA DE AVES DE CORRAL COMERCIO AL POR MENOR DE CARNES,CAICEDO DUARTE LUIS ALBERTO,
2,GRANJA BRISAS DEL ARAUCA,,15223 - CUBARA,A0145 ** Cria de aves de corral,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados,,Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados CrÍa de aves de corral.,RINCON GUERRERO MARLON HERLEY,
1,SANCHEZ APONTE ROBINSON,10903684137,15223 - CUBARA,A0150 ** Explotacion mixta (agricola y pecuaria),G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,,,EXPLOTACION MIXTA (AGRICOLA Y PECUARIA) COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES  ALQUILER,,
1,CAICEDO MORENO FREDDY,10493945490,15223 - CUBARA,A0150 ** Explotacion mixta (agricola y pecuaria),G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,,,ACTIVIDAD MIXTA AGRICOLA Y PECUARIA. COMERCIO DE PRODUCTOS AGROPECUARIOS Y ANIMALES VIVOS.,,
12,ASOCIACION DE CACAOTEROS DEL MUNICIPIO DE CUBARA-BOYACA PAZ Y PROGRESO,9009427881,15223 - CUBARA,A0150 ** Explotacion mixta (agricola y pecuaria),S9499 ** Actividades de otras asociaciones n.c.p.,,,,,TOLOSA LANDAZABAL YHONATAN ALBERTO
16,AGRO- CONSTRUCCIONES P&W SAS,9013431261,15223 - CUBARA,A0161 ** Actividades de apoyo a la agricultura,F4112 ** Construccion de edificios no residenciales,G4759 ** Comercio al por menor de otros articulos domesticos en establecimientos especializados,,ACTIVIDADES DE APOYO A LA AGRICULTURA  CONSTRUCCIÓN DE EDIFICIOS NO RESIDENCIALES  COMERCIO AL POR MENOR DE OTROS ARTÍCULOS DOMÉSTICOS.,,PUENTES GARCIA EDWIN CAMILO
12,ASOCIACION DE AGRICULTORES DE CUBARA,9009827986,15223 - CUBARA,A0161 ** Actividades de apoyo a la agricultura,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,S9499 ** Actividades de otras asociaciones n.c.p.,,,,TARAZONA COBARIA FABIO
12,ASOCIACION DE PISCICULTORES DEL PIEDEMONTE SARAREÑO,9004331311,15223 - CUBARA,A0322 ** Acuicultura de agua dulce,S9499 ** Actividades de otras asociaciones n.c.p.,,,,,MORA CAÑAS JUAN ANGEL
12,ASOCIACION AGROPISCICOLA TIPO EXPORTACION,9011203212,15223 - CUBARA,A0322 ** Acuicultura de agua dulce,A0161 ** Actividades de apoyo a la agricultura,S9499 ** Actividades de otras asociaciones n.c.p.,,,,GRIMALDOS DIAZ NERY
12,ASOCIACION DE PISCICULTORES CUBARA BOYACA,9011746226,15223 - CUBARA,A0322 ** Acuicultura de agua dulce,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,N8230 ** Organizacion de convenciones y eventos comerciales,I5621 ** Catering para eventos,,,SANCHEZ APONTE FRANCISCO JAVIER
2,LACTEOS ELIAN,,15223 - CUBARA,C1040 ** Elaboracion de productos lacteos,G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados,,,ELABORACIÓN Y COMERCIO DE PRODUCTOS LÁCTEOS,SAENZ RINCON HECTOR LEONI,
2,PANADERIA Y PASTELERIA ZAYRA,,15223 - CUBARA,C1081 ** Elaboracion de productos de panaderia,G4729 ** Comercio al por menor de otros productos alimenticios n.c.p.  en establecimientos especializados,,,ELABORACIÓN Y VENTA DE PRODUCTOS DE PANADERÍA CAFETERIA,GARCIA TARAZONA OMAIRA,
