Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Armenia, Mercar; 1.150 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Barranquilla, Barranquillita; 4.000 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Bogotá, D.C., Corabastos; 560 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Bucaramanga, Centroabastos; 1.875 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Chiquinquirá (Boyacá); 1.296 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Duitama (Boyacá), Mercaplaza; 1.067 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Florencia (Caquetá); 2.000 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Ibagué, Plaza La 21; 1.281 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Ipiales (Nariño), Ipiales somos todos; 1.702 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Medellín, Central Mayorista de Antioquia; 1.513 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Neiva, Surabastos; 2.010 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Pamplona (Norte de Santander); 2.313 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Pasto, El Potrerillo; 3.260 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Pereira, Mercasa; 2.219 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Tibasosa (Boyacá), Coomproriente; 1.000 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Tunja, Complejo de Servicios del Sur; 1.806 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Acelga;Villavicencio, CAV; 1.546 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ahuyama;Armenia, Mercar; 1.044 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ahuyama;Bogotá, D.C., Corabastos; 1.270 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ahuyama;Bucaramanga, Centroabastos; 869 ;;;;
