Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Armenia, Mercar; 1.706 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Bogotá, D.C., Corabastos; 906 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Bucaramanga, Centroabastos; 2.000 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Chiquinquirá (Boyacá); 1.722 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Duitama (Boyacá), Mercaplaza; 1.858 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Florencia (Caquetá); 2.733 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Ibagué, Plaza La 21; 1.840 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Ipiales (Nariño), Ipiales somos todos; 1.808 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Medellín, Central Mayorista de Antioquia; 1.955 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Neiva, Surabastos; 2.403 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Pamplona (Norte de Santander); 4.250 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Pasto, El Potrerillo; 3.375 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Pereira, Mercasa; 2.708 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Tibasosa (Boyacá), Coomproriente; 2.000 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Tunja, Complejo de Servicios del Sur; 2.038 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Villavicencio, CAV; 1.950 ;;
ene-23;VERDURAS Y HORTALIZAS;Acelga;Yopal (Casanare); 2.000 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Armenia, Mercar; 1.267 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Bogotá, D.C., Corabastos; 2.130 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Bucaramanga, Centroabastos; 1.369 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca); 2.137 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Cavasa; 1.631 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Cali, Santa Elena; 1.581 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Cartago (Valle del Cauca); 1.774 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Cúcuta, Cenabastos; 1.658 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Duitama (Boyacá), Mercaplaza; 1.245 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Ibagué, Plaza La 21; 1.681 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Manizales, Centro Galerías; 1.970 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Medellín, Central Mayorista de Antioquia; 1.262 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;"Medellín, Plaza Minorista ""José María Villa"""; 1.415 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Montería, Mercado del Sur; 1.570 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Palmira (Valle del Cauca); 1.778 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Pamplona (Norte de Santander); 1.727 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, La 41; 1.678 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Pereira, Mercasa; 1.489 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Popayán, Plaza de mercado del barrio Bolívar; 1.978 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander); 1.500 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Sincelejo, Nuevo Mercado; 1.298 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander); 1.500 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Tibasosa (Boyacá), Coomproriente; 784 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Tuluá (Valle del Cauca); 1.708 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Tunja, Complejo de Servicios del Sur; 938 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercabastos; 1.374 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercado Nuevo; 1.333 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyama;Yopal (Casanare); 1.563 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Arauca (Arauca); 1.378 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Bogotá, D.C., Corabastos; 1.038 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Bucaramanga, Centroabastos; 929 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Chiquinquirá (Boyacá); 1.171 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Duitama (Boyacá), Mercaplaza; 1.358 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Florencia (Caquetá); 1.640 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Ibagué, Plaza La 21; 1.583 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Neiva, Surabastos; 1.263 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Pamplona (Norte de Santander); 1.746 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);San Gil (Santander); 1.056 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Tibasosa (Boyacá), Coomproriente; 1.097 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Tunja, Complejo de Servicios del Sur; 1.881 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Villavicencio, CAV; 1.340 ;;
ene-23;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Yopal (Casanare); 1.613 ;;
